rt	trial_type	trial_index	trial_index_global	time_elapsed	subject	condition	problems	moveNum	src	category	imageName	init_locationsX	init_locationsY	movesX	movesY	dropTime	dropCorrect	dropPosition	final_locationsX	final_locationsY	problem_type	responseL	responseR
42265	passive-sort	0	1	128181	p111472	passive	pbp28	11	lib/images/pbp34/problem/pbp34_3-4.jpg	right	pbp34_3-4.jpg	755	455	1054	348	38437	1	right	1054	348	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	12	lib/images/pbp34/problem/pbp34_1-4.jpg	right	pbp34_1-4.jpg	755	235	942	455	39261	1	right	942	455	pbp34	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	1	lib/images/pbp28/problem/pbp28_2-4.jpg	right	pbp28_2-4.jpg	755	345	225	240	10832	0	left	942	241	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	2	lib/images/pbp28/problem/pbp28_2-4.jpg	right	pbp28_2-4.jpg	755	345	942	241	27707	1	right	942	241	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	3	lib/images/pbp28/problem/pbp28_3-2.jpg	left	pbp28_3-2.jpg	755	235	237	241	29180	1	left	237	241	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	4	lib/images/pbp28/problem/pbp28_2-2.jpg	left	pbp28_2-2.jpg	425	455	930	342	31638	0	right	237	348	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	5	lib/images/pbp28/problem/pbp28_2-2.jpg	left	pbp28_2-2.jpg	425	455	237	348	34078	1	left	237	348	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	6	lib/images/pbp28/problem/pbp28_2-3.jpg	right	pbp28_2-3.jpg	645	345	942	348	38220	1	right	942	348	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	7	lib/images/pbp28/problem/pbp28_1-1.jpg	left	pbp28_1-1.jpg	645	235	237	455	41054	1	left	237	455	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	8	lib/images/pbp28/problem/pbp28_3-4.jpg	right	pbp28_3-4.jpg	535	235	942	455	43113	1	right	942	455	pbp28	These will roll.	These will not roll.
